Economy,Year,Economy Code,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
Afghanistan,2022,AFG,21.025
Albania,2023,ALB,99.280
Algeria,2019,DZA,64.007
American Samoa,2024,ASM,
Andorra,2022,AND,99.150
Angola,2015,AGO,43.405
Antigua and Barbuda,2023,ATG,99.384
Argentina,2024,ARG,
Armenia,2023,ARM,99.653
Aruba,2023,ABW,96.481
Australia,2024,AUS,99.452
Austria,2023,AUT,100.000
Azerbaijan,2023,AZE,99.940
"Bahamas, The",2023,BHS,99.061
Bahrain,2024,BHR,89.710
Bangladesh,2022,BGD,54.680
Barbados,2024,BRB,
Belarus,2023,BLR,99.873
Belgium,2023,BEL,95.765
Belize,2022,BLZ,93.650
Benin,2022,BEN,22.598
Bermuda,2024,BMU,
Bhutan,2022,BTN,37.309
Bolivia,2023,BOL,71.233
Bosnia and Herzegovina,2023,BIH,91.395
Botswana,2023,BWA,81.236
Brazil,2024,BRA,85.821
British Virgin Islands,2024,VGB,
Brunei Darussalam,2023,BRN,91.391
Bulgaria,2023,BGR,99.236
Burkina Faso,2024,BFA,21.343
Burundi,2017,BDI,18.000
Cabo Verde,2015,CPV,51.920
Cambodia,2023,KHM,49.005
Cameroon,2018,CMR,60.224
Canada,2024,CAN,96.427
Cayman Islands,2015,CYM,99.030
Central African Republic,2019,CAF,30.843
Chad,2019,TCD,18.640
Channel Islands,2024,CHI,
Chile,2024,CHL,92.536
China,2020,CHN,95.840
Colombia,2024,COL,83.072
Comoros,2022,COM,47.029
"Congo, Dem. Rep.",2020,COD,65.854
"Congo, Rep.",2015,COG,71.991
Costa Rica,2024,CRI,86.691
Cote d'Ivoire,2021,CIV,32.720
Croatia,2023,HRV,99.470
Cuba,2019,CUB,91.949
Curacao,2020,CUW,99.400
Cyprus,2023,CYP,97.116
Czechia,2023,CZE,99.886
Denmark,2023,DNK,100.000
Djibouti,2017,DJI,39.282
Dominica,2021,DMA,79.731
Dominican Republic,2023,DOM,75.700
Ecuador,2024,ECU,84.441
"Egypt, Arab Rep.",2023,EGY,69.222
El Salvador,2023,SLV,64.540
Equatorial Guinea,2024,GNQ,
Eritrea,2024,ERI,
Estonia,2023,EST,99.868
Eswatini,2022,SWZ,70.770
